Year,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
2016,France,6.478,,,,,,,Europe
2016,Taiwan,6.379,,,,,,,Asia
2016,Chile,6.705,,,,,,,South America
2016,Guatemala,6.324,,,,,,,North America
2016,Saudi Arabia,6.379,,,,,,,Asia
2016,Qatar,6.375,,,,,,,Asia
2016,Spain,6.361,,,,,,,Europe
2016,Panama,6.701,,,,,,,North America
2016,Brazil,6.952,,,,,,,South America
2016,Uruguay,6.545,,,,,,,South America
2016,Singapore,6.739,,,,,,,Asia
2016,El Salvador,6.068,,,,,,,North America
2016,Italy,5.977,,,,,,,Europe
2016,Bahrain,6.218,,,,,,,Asia
2016,Slovakia,6.078,,,,,,,Europe
2016,Trinidad & Tobago,#N/A,,,,,,,South America
2016,Poland,5.835,,,,,,,Europe
2016,Uzbekistan,5.987,,,,,,,Asia
2016,Lithuania,5.813,,,,,,,Europe
2016,Colombia,6.481,,,,,,,South America
2016,Slovenia,5.768,,,,,,,Europe
2016,Nicaragua,5.992,,,,,,,North America
2016,Kosovo,5.401,,,,,,,Europe
2016,Argentina,6.65,,,,,,,South America
2016,Romania,5.528,,,,,,,Europe
2016,Cyprus,5.546,,,,,,,Europe
2016,Ecuador,5.976,,,,,,,South America
2016,Kuwait,6.239,,,,,,,Asia
2016,Thailand,6.474,,,,,,,Asia
2016,Latvia,5.56,,,,,,,Europe
2016,South Korea,5.835,,,,,,,Asia
2016,Estonia,5.517,,,,,,,Europe
2016,Jamaica,5.51,,,,,,,North America
2016,Mauritius,5.648,,,,,,,Africa
2016,Japan,5.921,,,,,,,Asia
2016,Honduras,4.871,,,,,,,North America
2016,Kazakhstan,5.919,,,,,,,Europe
2016,Bolivia,5.822,,,,,,,South America
2016,Hungary,5.145,,,,,,,Europe
2016,Paraguay,5.538,,,,,,,South America
2016,Northern Cyprus,#N/A,,,,,,,Asia
2016,Peru,5.743,,,,,,,South America
2016,Portugal,5.123,,,,,,,Europe
2016,Pakistan,5.132,,,,,,,Asia
2016,Russia,5.856,,,,,,,Asia
2016,Philippines,5.279,,,,,,,Asia
2016,Serbia,5.177,,,,,,,Europe
2016,Moldova,5.897,,,,,,,Europe
2016,Libya,5.615,,,,,,,Africa
2016,Montenegro,5.161,,,,,,,Europe
2016,Tajikistan,4.996,,,,,,,Asia
2016,Croatia,5.488,,,,,,,Europe
2016,Hong Kong,5.458,,,,,,,Asia
2016,Dominican Republic,5.155,,,,,,,North America
2016,Bosnia and Herzegovina,5.163,,,,,,,Europe
2016,Turkey,5.389,,,,,,,Europe
2016,Malaysia,6.005,,,,,,,Asia
2016,Belarus,5.802,,,,,,,Europe
2016,Greece,5.033,,,,,,,Europe
2016,Mongolia,4.907,,,,,,,Asia
2016,North Macedonia,#N/A,,,,,,,Europe
2016,Nigeria,4.875,,,,,,,Africa
2016,Kyrgyzstan,5.185,,,,,,,Asia
2016,Turkmenistan,5.658,,,,,,,Asia
2016,Algeria,6.355,,,,,,,Africa
2016,Morocco,5.151,,,,,,,Africa
2016,Azerbaijan,5.291,,,,,,,Europe
2016,Lebanon,5.129,,,,,,,Asia
2016,Indonesia,5.314,,,,,,,Asia
2016,China,5.245,,,,,,,Asia
2016,Vietnam,5.061,,,,,,,Asia
2016,Bhutan,5.196,,,,,,,Asia
2016,Cameroon,4.513,,,,,,,Africa
2016,Bulgaria,4.217,,,,,,,Europe
2016,Ghana,4.276,,,,,,,Africa
2016,Ivory Coast,3.916,,,,,,,Africa
2016,Nepal,4.793,,,,,,,Asia
2016,Jordan,5.303,,,,,,,Asia
2016,Benin,3.484,,,,,,,Africa
2016,Congo (Brazzaville),4.236,,,,,,,South America
2016,Gabon,4.121,,,,,,,Africa
2016,Laos,4.876,,,,,,,Asia
2016,South Africa,4.459,,,,,,,Africa
2016,Albania,4.655,,,,,,,Europe
2016,Venezuela,6.084,,,,,,,Europe
2016,Cambodia,3.907,,,,,,,Asia
2016,Palestinian Territories,4.754,,,,,,,Asia
2016,Senegal,4.219,,,,,,,Africa
2016,Somalia,5.44,,,,,,,Africa
2016,Namibia,4.574,,,,,,,Africa
2016,Niger,3.856,,,,,,,Africa
2016,Burkina Faso,3.739,,,,,,,Africa
2016,Armenia,4.36,,,,,,,Asia
2016,Iran,4.813,,,,,,,Asia
2016,Guinea,3.607,,,,,,,Africa
2016,Georgia,4.252,,,,,,,Europe
2016,Gambia,#N/A,,,,,,,Africa
2016,Kenya,4.356,,,,,,,Africa
2016,Mauritania,4.201,,,,,,,Africa
2016,Mozambique,#N/A,,,,,,,Africa
2016,Tunisia,5.045,,,,,,,Africa
2016,Bangladesh,4.643,,,,,,,Asia
2016,Iraq,4.575,,,,,,,Asia
2016,Congo (Kinshasa),4.272,,,,,,,Africa
2016,Mali,4.073,,,,,,,Africa
2016,Sierra Leone,4.635,,,,,,,Africa
2016,Sri Lanka,4.415,,,,,,,Asia
2016,Myanmar,4.395,,,,,,,Asia
2016,Chad,3.763,,,,,,,Africa
2016,Ukraine,4.324,,,,,,,Europe
2016,Ethiopia,4.508,,,,,,,Africa
2016,Swaziland,#N/A,,,,,,,Africa
2016,Uganda,3.739,,,,,,,Africa
2016,Egypt,4.362,,,,,,,Africa
2016,Zambia,4.795,,,,,,,Africa
2016,Togo,3.303,,,,,,,Africa
2016,India,4.404,,,,,,,Asia
2016,Liberia,3.622,,,,,,,Africa
2016,Comoros,3.956,,,,,,,Africa
2016,Madagascar,3.695,,,,,,,Africa
2016,Lesotho,#N/A,,,,,,,Africa
2016,Burundi,2.905,,,,,,,Africa
2016,Zimbabwe,4.193,,,,,,,Asia
2016,Haiti,4.028,,,,,,,North America
2016,Botswana,3.974,,,,,,,Africa
2016,Syria,3.069,,,,,,,Asia
2016,Malawi,4.156,,,,,,,Africa
2016,Yemen,3.724,,,,,,,Asia
2016,Rwanda,3.515,,,,,,,Africa
2016,Tanzania,3.666,,,,,,,Africa
2016,Afghanistan,3.36,,,,,,,Asia
2016,Central African Republic,#N/A,,,,,,,Africa
2016,South Sudan,3.832,,,,,,,Africa
2015,Finland,7.406,,,,,,,Europe
2015,Denmark,7.527,,,,,,,Europe
2015,Norway,7.522,,,,,,,Europe
2015,Iceland,7.561,,,,,,,Europe
2015,Netherlands,7.378,,,,,,,Europe
2015,Switzerland,7.587,,,,,,,Europe
2015,Sweden,7.364,,,,,,,Europe
2015,New Zealand,7.286,,,,,,,Oceania
2015,Canada,7.427,,,,,,,North America
2015,Austria,7.2,,,,,,,Europe
2015,Australia,7.284,,,,,,,Oceania
2015,Costa Rica,7.226,,,,,,,North America
2015,Israel,7.278,,,,,,,Asia
2015,Luxembourg,6.946,,,,,,,Europe
2015,United Kingdom,6.867,,,,,,,Europe
2015,Ireland,6.94,,,,,,,Europe
2015,Germany,6.75,,,,,,,Europe
2015,Belgium,6.937,,,,,,,Europe
2015,United States,7.119,,,,,,,North America
2015,Czech Republic,6.505,,,,,,,Europe
2015,United Arab Emirates,6.901,,,,,,,Asia
2015,Malta,6.302,,,,,,,Europe
2015,Mexico,7.187,,,,,,,North America
2015,France,6.575,,,,,,,Europe
2015,Taiwan,6.298,,,,,,,Asia
2015,Chile,6.67,,,,,,,South America
2015,Guatemala,6.123,,,,,,,North America
2015,Saudi Arabia,6.411,,,,,,,Asia
2015,Qatar,6.611,,,,,,,Asia
2015,Spain,6.329,,,,,,,Europe
2015,Panama,6.786,,,,,,,North America
2015,Brazil,6.983,,,,,,,South America
2015,Uruguay,6.485,,,,,,,South America
2015,Singapore,6.798,,,,,,,Asia
2015,El Salvador,6.13,,,,,,,North America
2015,Italy,5.948,,,,,,,Europe
2015,Bahrain,5.96,,,,,,,Asia
2015,Slovakia,5.995,,,,,,,Europe
2015,Trinidad & Tobago,#N/A,,,,,,,South America
2015,Poland,5.791,,,,,,,Europe
2015,Uzbekistan,6.003,,,,,,,Asia
2015,Lithuania,5.833,,,,,,,Europe
2015,Colombia,6.477,,,,,,,South America
2015,Slovenia,5.848,,,,,,,Europe
2015,Nicaragua,5.828,,,,,,,North America
2015,Kosovo,5.589,,,,,,,Europe
2015,Argentina,6.574,,,,,,,South America
2015,Romania,5.124,,,,,,,Europe
2015,Cyprus,5.689,,,,,,,Europe
2015,Ecuador,5.975,,,,,,,South America
2015,Kuwait,6.295,,,,,,,Asia
2015,Thailand,6.455,,,,,,,Asia
2015,Latvia,5.098,,,,,,,Europe
2015,South Korea,5.984,,,,,,,Asia
2015,Estonia,5.429,,,,,,,Europe
2015,Jamaica,5.709,,,,,,,North America
2015,Mauritius,5.477,,,,,,,Africa
2015,Japan,5.987,,,,,,,Asia
2015,Honduras,4.788,,,,,,,North America
2015,Kazakhstan,5.855,,,,,,,Europe
2015,Bolivia,5.89,,,,,,,South America
2015,Hungary,4.8,,,,,,,Europe
2015,Paraguay,5.878,,,,,,,South America
2015,Northern Cyprus,#N/A,,,,,,,Asia
2015,Peru,5.824,,,,,,,South America
2015,Portugal,5.102,,,,,,,Europe
2015,Pakistan,5.194,,,,,,,Asia
2015,Russia,5.716,,,,,,,Asia
2015,Philippines,5.073,,,,,,,Asia
2015,Serbia,5.123,,,,,,,Europe
2015,Moldova,5.889,,,,,,,Europe
2015,Libya,5.754,,,,,,,Africa
2015,Montenegro,5.192,,,,,,,Europe
2015,Tajikistan,4.786,,,,,,,Asia
2015,Croatia,5.759,,,,,,,Europe
2015,Hong Kong,5.474,,,,,,,Asia
2015,Dominican Republic,4.885,,,,,,,North America
2015,Bosnia and Herzegovina,4.949,,,,,,,Europe
2015,Turkey,5.332,,,,,,,Europe
2015,Malaysia,5.77,,,,,,,Asia
2015,Belarus,5.813,,,,,,,Europe
2015,Greece,4.857,,,,,,,Europe
2015,Mongolia,4.874,,,,,,,Asia
2015,North Macedonia,#N/A,,,,,,,Europe
2015,Nigeria,5.268,,,,,,,Africa
2015,Kyrgyzstan,5.286,,,,,,,Asia
2015,Turkmenistan,5.548,,,,,,,Asia
2015,Algeria,5.605,,,,,,,Africa
2015,Morocco,5.013,,,,,,,Africa
2015,Azerbaijan,5.212,,,,,,,Europe
2015,Lebanon,4.839,,,,,,,Asia
2015,Indonesia,5.399,,,,,,,Asia
2015,China,5.14,,,,,,,Asia
2015,Vietnam,5.36,,,,,,,Asia
2015,Bhutan,5.253,,,,,,,Asia
2015,Cameroon,4.252,,,,,,,Africa
2015,Bulgaria,4.218,,,,,,,Europe
2015,Ghana,4.633,,,,,,,Africa
2015,Ivory Coast,3.655,,,,,,,Africa
2015,Nepal,4.514,,,,,,,Asia
2015,Jordan,5.192,,,,,,,Asia
2015,Benin,3.34,,,,,,,Africa
2015,Congo (Brazzaville),3.989,,,,,,,South America
2015,Gabon,3.896,,,,,,,Africa
2015,Laos,4.876,,,,,,,Asia
2015,South Africa,4.642,,,,,,,Africa
2015,Albania,4.959,,,,,,,Europe
2015,Venezuela,6.81,,,,,,,Europe
2015,Cambodia,3.819,,,,,,,Asia
2015,Palestinian Territories,4.715,,,,,,,Asia
2015,Senegal,3.904,,,,,,,Africa
2015,Somalia,#N/A,,,,,,,Africa
2015,Namibia,#N/A,,,,,,,Africa
2015,Niger,3.845,,,,,,,Africa
2015,Burkina Faso,3.587,,,,,,,Africa
2015,Armenia,4.35,,,,,,,Asia
2015,Iran,4.686,,,,,,,Asia
2015,Guinea,3.656,,,,,,,Africa
2015,Georgia,4.297,,,,,,,Europe
2015,Gambia,#N/A,,,,,,,Africa
2015,Kenya,4.419,,,,,,,Africa
2015,Mauritania,4.436,,,,,,,Africa
2015,Mozambique,4.971,,,,,,,Africa
2015,Tunisia,4.739,,,,,,,Africa
2015,Bangladesh,4.694,,,,,,,Asia
2015,Iraq,4.677,,,,,,,Asia
2015,Congo (Kinshasa),4.517,,,,,,,Africa
2015,Mali,3.995,,,,,,,Africa
2015,Sierra Leone,4.507,,,,,,,Africa
2015,Sri Lanka,4.271,,,,,,,Asia
2015,Myanmar,4.307,,,,,,,Asia
2015,Chad,3.667,,,,,,,Africa
2015,Ukraine,4.681,,,,,,,Europe
2015,Ethiopia,4.512,,,,,,,Africa
2015,Swaziland,4.867,,,,,,,Africa
2015,Uganda,3.931,,,,,,,Africa
2015,Egypt,4.194,,,,,,,Africa
2015,Zambia,5.129,,,,,,,Africa
2015,Togo,2.839,,,,,,,Africa
2015,India,4.565,,,,,,,Asia
2015,Liberia,4.571,,,,,,,Africa
2015,Comoros,3.956,,,,,,,Africa
2015,Madagascar,3.681,,,,,,,Africa
2015,Lesotho,4.898,,,,,,,Africa
2015,Burundi,2.905,,,,,,,Africa
2015,Zimbabwe,4.61,,,,,,,Asia
2015,Haiti,4.518,,,,,,,North America
2015,Botswana,4.332,,,,,,,Africa
2015,Syria,3.006,,,,,,,Asia
2015,Malawi,4.292,,,,,,,Africa
2015,Yemen,4.077,,,,,,,Asia
2015,Rwanda,3.465,,,,,,,Africa
2015,Tanzania,3.781,,,,,,,Africa
2015,Afghanistan,3.575,,,,,,,Asia
2015,Central African Republic,3.678,,,,,,,Africa
2015,South Sudan,#N/A,,,,,,,Africa
